name,topic_name,time,photo
Jirayut Nimsaeng,Practical in Python Observability,Talk,
Aleksei Kharinskii,From Scratch to Scale: Open-source Stack for Recommendation Systems,30-mins talk session,
Alex Merced,"Open Standards and Lakehouse AI Development - Arrow Flight, Apache Iceberg, and MCP",30-mins talk session,
Alex Shershebnev,Developing production-ready apps in collaboration with AI agents,90-mins workshop session,
Alyssa Coghlan,Do you want to get more involved in open source?,30-mins talk session,
Amitosh Mahapatra,Peeking under the hood of API instrumentation agents,30-mins talk session,
Arnel Jan Sarmiento,Optimizing Dependency Management and Deployment for Serverless Python Applications with uv and Pants,30-mins talk session,
Joyce Dzifa Lokko,AI in Open-source Project Management: More than Just Code,30-mins talk session,
Kasidis Chaowvasin,Making RAG Application with Evaluation Using Ollama,90-mins workshop session,
"Kumar Anirudha, Farhaan Bukhsh",Bringing Python to WebAssembly,30-mins talk session,
Kurian Benoy,How I ended up maintaining a Python package with 1M+ downloads,30-mins talk session,
Manjula Rathnayake,Why Python Developers Need Better Platforms — And What That Actually Looks Like,30-mins talk session,
Marc Garcia,Introduction to Polars,90-mins workshop session,
Marc Garcia,What's new in pandas 3.0,30-mins talk session,
Michelle Sandford,Overcoming Your Imposter Syndrome with GitHub Copilot*,30-mins talk session,
Mohammad Saheer Padinharayil,Securing AI Models and ML Pipelines: Best Practices and Pitfalls to Avoid,30-mins talk session,
Nick Acosta,AI Driven Automation in Open-Source Metadata Platforms: Embedding an MCP Server,90-mins workshop session,
Nitin Rathee,PydanticAI Demystified: Building Smarter Generative AI Systems,30-mins talk session,
Piti Champeethong,Boosting Operational Productivity with Python and Textual: Modern Terminal Dashboards for Developers,30-mins talk session,
Prem Chotepanit,Create agentic financial solution using MCP and A2A,30-mins talk session,
Ratchanan Srirattanamet,Python as a system language: How Python is used in a Linux system,30-mins talk session,
Stanislav Liashkov,Spatial Data Science for Traffic Safety: Analyzing Collision Patterns with PySAL,30-mins talk session,
Supasate Vorathammathorn,Building a Quantum AI Model with Python,30-mins talk session,
Tejas Kothari,Revolutionizing Observability: Python Logging for Asynchronous Cloud-native Systems,30-mins talk session,
Tetsuya Hirata,How to Transform ML APIs into an LLM-compatible MCP Server with Python,30-mins talk session,
Theo J Chiu,How we built an entire bank from scratch with Python,30-mins talk session,
Utkarsh Umarye,"Pings, Patterns & Python: Making Sense of 300 Million IoT Events a Day",30-mins talk session,
Vikram Vaswani,Build Modern CI Pipelines in Python,90-mins workshop session,
Witthawin Sripheanpol,Best Practices for Building Graph-based RAG from Multiple Documents with Python,30-mins talk session,
Yashasvi Misra,What’s Really Going on in Your Model? A Python Guide to Explainable AI,30-mins talk session,
Zachary Flower,"Python, Portfolios, and Pull Requests: Building a Culture of Code in the Classroom",30-mins talk session,
Zahhar Kirillov,Deploying & operating Streamlit web app in Azure,90-mins workshop session,
